time	Control	Speed_rpm	
1693.99	1000	1901	
1694	1000	1901	
1694.01	1000	1848	
1694.02	1000	1848	
1694.03	1000	1848	
1694.04	1000	1848	
1694.05	1000	1848	
1694.06	1000	1848	
1694.07	1000	1794	
1694.08	1000	1794	
1694.0900000000001	1000	1794	
1694.1000000000001	1000	1794	
1694.1100000000001	1000	1794	
1694.1200000000001	1000	1740	
1694.13	1000	1740	
1694.14	1000	1740	
1694.15	1000	1740	
1694.16	1000	1697	
1694.17	1000	1697	
1694.18	1000	1697	
1694.19	1000	1697	
1694.2	1000	1697	
1694.21	1000	1697	
1694.22	1000	1664	
1694.23	1000	1664	
1694.24	1000	1664	
1694.25	1000	1664	
1694.26	1000	1609	
1694.27	1000	1609	
1694.28	1000	1609	
1694.29	1000	1609	
1694.3	1000	1609	
1694.31	1000	1550	
1694.32	1000	1550	
1694.33	1000	1550	
1694.3400000000001	1000	1550	
1694.3500000000001	1000	1550	
1694.3600000000001	1000	1504	
1694.3700000000001	1000	1504	
1694.38	1000	1504	
1694.39	1000	1504	
1694.4	1000	1504	
1694.41	1000	1504	
1694.42	1000	1454	
1694.43	1000	1454	
1694.44	1000	1454	
1694.45	1000	1454	
1694.46	1000	1405	
1694.47	1000	1405	
1694.48	1000	1405	
1694.49	1000	1405	
1694.5	1000	1405	
1694.51	1000	1370	
1694.52	1000	1370	
1694.53	1000	1370	
1694.54	1000	1370	
1694.55	1000	1370	
1694.56	1000	1370	
1694.57	1000	1348	
1694.58	1000	1348	
1694.5900000000001	1000	1348	
1694.6000000000001	1000	1348	
1694.6100000000001	1000	1306	
1694.6200000000001	1000	1306	
1694.63	1000	1306	
1694.64	1000	1306	
1694.65	1000	1306	
1694.66	1000	1269	
1694.67	1000	1269	
1694.68	1000	1269	
1694.69	1000	1269	
1694.7	1000	1269	
1694.71	1000	1269	
1694.72	1000	1256	
1694.73	1000	1256	
1694.74	1000	1256	
1694.75	1000	1256	
1694.76	1000	1256	
1694.77	1000	1216	
1694.78	1000	1216	
1694.79	1000	1216	
1694.8	1000	1216	
1694.81	1000	1207	
1694.82	1000	1207	
1694.83	1000	1207	
1694.8400000000001	1000	1207	
1694.8500000000001	1000	1207	
1694.8600000000001	1000	1176	
1694.8700000000001	1000	1176	
1694.88	1000	1176	
1694.89	1000	1176	
1694.9	1000	1176	
1694.91	1000	1176	
1694.92	1000	1165	
1694.93	1000	1165	
1694.94	1000	1165	
1694.95	1000	1165	
1694.96	1000	1165	
1694.97	1000	1136	
1694.98	1000	1136	
1694.99	1000	1136	
1695	1000	1136	
1695.01	1000	1128	
1695.02	1000	1128	
1695.03	1000	1128	
1695.04	1000	1128	
1695.05	1000	1128	
1695.06	1000	1128	
1695.07	1000	1120	
1695.08	1000	1120	
1695.0900000000001	1000	1120	
1695.1000000000001	1000	1120	
1695.1100000000001	1000	1120	
1695.1200000000001	1000	1096	
1695.13	1000	1096	
1695.14	1000	1096	
1695.15	1000	1096	
1695.16	1000	1090	
1695.17	1000	1090	
1695.18	1000	1090	
1695.19	1000	1090	
1695.2	1000	1090	
1695.21	1000	1090	
1695.22	1000	1077	
1695.23	1000	1077	
1695.24	1000	1077	
1695.25	1000	1077	
1695.26	1000	1061	
1695.27	1000	1061	
1695.28	1000	1061	
1695.29	1000	1061	
1695.3	1000	1061	
1695.31	1000	1052	
1695.32	1000	1052	
1695.33	1000	1052	
1695.3400000000001	1000	1052	
1695.3500000000001	1000	1052	
1695.3600000000001	1000	1049	
1695.3700000000001	1000	1049	
1695.38	1000	1049	
1695.39	1000	1049	
1695.4	1000	1049	
1695.41	1000	1049	
1695.42	1000	1028	
1695.43	1000	1028	
1695.44	1000	1028	
1695.45	1000	1028	
1695.46	1000	1028	
1695.47	1000	1022	
1695.48	1000	1022	
1695.49	1000	1022	
1695.5	1000	1022	
1695.51	1000	1022	
1695.52	1000	1022	
1695.53	1000	1022	
1695.54	1000	1022	
1695.55	1000	1022	
1695.56	1000	1022	
1695.57	1000	1005	
1695.58	1000	1005	
1695.5900000000001	1000	1005	
1695.6000000000001	1000	1005	
1695.6100000000001	1000	1000	
1695.6200000000001	1000	1000	
1695.63	1000	1000	
1695.64	1000	1000	
1695.65	1000	1000	
1695.66	1000	1005	
1695.67	1000	1005	
1695.68	1000	1005	
1695.69	1000	1005	
1695.7	1000	1005	
1695.71	1000	1005	
1695.72	1000	1005	
1695.73	1000	1005	
1695.74	1000	1005	
1695.75	1000	1005	
1695.76	1000	1005	
1695.77	1000	993	
1695.78	1000	993	
1695.79	1000	993	
1695.8	1000	993	
1695.81	1000	982	
1695.82	1000	982	
1695.83	1000	982	
1695.8400000000001	1000	982	
1695.8500000000001	1000	982	
1695.8600000000001	1000	980	
1695.8700000000001	1000	980	
1695.88	2900	980	
1695.89	2900	980	
1695.9	2900	980	
1695.91	2900	980	
1695.92	2900	977	
1695.93	2900	977	
1695.94	2900	977	
1695.95	2900	977	
1695.96	2900	973	
1695.97	2900	973	
1695.98	2900	973	
1695.99	2900	973	
1696	2900	973	
1696.01	2900	970	
1696.02	2900	970	
1696.03	2900	970	
1696.04	2900	970	
1696.05	2900	970	
1696.06	2900	975	
1696.07	2900	975	
1696.08	2900	975	
1696.0900000000001	2900	975	
1696.1000000000001	2900	975	
1696.1100000000001	2900	975	
1696.1200000000001	2900	993	
1696.13	2900	993	
1696.14	2900	993	
1696.15	2900	993	
1696.16	2900	993	
1696.17	2900	1001	
1696.18	2900	1001	
1696.19	2900	1001	
1696.2	2900	1001	
1696.21	2900	1001	
1696.22	2900	1014	
1696.23	2900	1014	
1696.24	2900	1014	
1696.25	2900	1014	
1696.26	2900	1026	
1696.27	2900	1026	
1696.28	2900	1026	
1696.29	2900	1026	
1696.3	2900	1026	
1696.31	2900	1026	
1696.32	2900	1067	
1696.33	2900	1067	
1696.3400000000001	2900	1067	
1696.3500000000001	2900	1067	
1696.3600000000001	2900	1067	
1696.3700000000001	2900	1093	
1696.38	2900	1093	
1696.39	2900	1093	
1696.4	2900	1093	
1696.41	2900	1093	
1696.42	2900	1117	
1696.43	2900	1117	
1696.44	2900	1117	
1696.45	2900	1117	
1696.46	2900	1149	
1696.47	2900	1149	
1696.48	2900	1149	
1696.49	2900	1149	
1696.5	2900	1149	
1696.51	2900	1184	
1696.52	2900	1184	
1696.53	2900	1184	
1696.54	2900	1184	
1696.55	2900	1184	
1696.56	2900	1228	
1696.57	2900	1228	
1696.58	2900	1228	
1696.5900000000001	2900	1228	
1696.6000000000001	2900	1228	
1696.6100000000001	2900	1257	
1696.6200000000001	2900	1257	
1696.63	2900	1257	
1696.64	2900	1257	
1696.65	2900	1257	
1696.66	2900	1257	
1696.67	2900	1302	
1696.68	2900	1302	
1696.69	2900	1302	
1696.7	2900	1302	
1696.71	2900	1302	
1696.72	2900	1349	
1696.73	2900	1349	
1696.74	2900	1349	
1696.75	2900	1349	
1696.76	2900	1349	
1696.77	2900	1374	
1696.78	2900	1374	
1696.79	2900	1374	
1696.8	2900	1374	
1696.81	2900	1374	
1696.82	2900	1425	
1696.83	2900	1425	
1696.8400000000001	2900	1425	
1696.8500000000001	2900	1425	
1696.8600000000001	2900	1475	
1696.8700000000001	2900	1475	
1696.88	2900	1475	
1696.89	2900	1475	
1696.9	2900	1475	
1696.91	2900	1475	
1696.92	2900	1520	
1696.93	2900	1520	
1696.94	2900	1520	
1696.95	2900	1520	
1696.96	2900	1569	
1696.97	2900	1569	
1696.98	2900	1569	
1696.99	2900	1569	
1697	2900	1569	
1697.01	2900	1609	
1697.02	2900	1609	
1697.03	2900	1609	
1697.04	2900	1609	
1697.05	2900	1609	
1697.06	2900	1609	
1697.07	2900	1660	
1697.08	2900	1660	
1697.0900000000001	2900	1660	
1697.1000000000001	2900	1660	
