time	Control	Speed_rpm	
1736.63	2900	2239	
1736.64	2900	2239	
1736.65	2900	2239	
1736.66	2900	2282	
1736.67	2900	2282	
1736.68	2900	2282	
1736.69	2900	2282	
1736.7	2900	2282	
1736.71	2900	2302	
1736.72	2900	2302	
1736.73	2900	2302	
1736.74	2900	2302	
1736.75	2900	2302	
1736.76	2900	2356	
1736.77	2900	2356	
1736.78	2900	2356	
1736.79	2900	2356	
1736.8	2900	2356	
1736.81	2900	2391	
1736.82	2900	2391	
1736.83	2900	2391	
1736.8400000000001	2900	2391	
1736.8500000000001	2900	2391	
1736.8600000000001	2900	2440	
1736.8700000000001	2900	2440	
1736.88	2900	2440	
1736.89	2900	2440	
1736.9	2900	2440	
1736.91	2900	2440	
1736.92	2900	2462	
1736.93	2900	2462	
1736.94	2900	2462	
1736.95	2900	2462	
1736.96	2900	2491	
1736.97	2900	2491	
1736.98	2900	2491	
1736.99	2900	2491	
1737	2900	2491	
1737.01	2900	2539	
1737.02	2900	2539	
1737.03	2900	2539	
1737.04	2900	2539	
1737.05	2900	2539	
1737.06	2900	2539	
1737.07	2900	2549	
1737.08	2900	2549	
1737.0900000000001	2900	2549	
1737.1000000000001	2900	2549	
1737.1100000000001	2900	2549	
1737.1200000000001	2900	2569	
1737.13	2900	2569	
1737.14	2900	2569	
1737.15	2900	2569	
1737.16	2900	2569	
1737.17	2900	2579	
1737.18	2900	2579	
1737.19	2900	2579	
1737.2	2900	2579	
1737.21	2900	2604	
1737.22	2900	2604	
1737.23	2900	2604	
1737.24	2900	2604	
1737.25	2900	2604	
1737.26	2900	2647	
1737.27	2900	2647	
1737.28	2900	2647	
1737.29	2900	2647	
1737.3	2900	2647	
1737.31	2900	2647	
1737.32	2900	2647	
1737.33	2900	2647	
1737.3400000000001	2900	2647	
1737.3500000000001	2900	2647	
1737.3600000000001	2900	2647	
1737.3700000000001	2900	2663	
1737.38	2900	2663	
1737.39	2900	2663	
1737.4	2900	2663	
1737.41	2900	2663	
1737.42	2900	2674	
1737.43	2900	2674	
1737.44	2900	2674	
1737.45	2900	2674	
1737.46	2900	2690	
1737.47	2900	2690	
1737.48	2900	2690	
1737.49	1000	2690	
1737.5	1000	2690	
1737.51	1000	2701	
1737.52	1000	2701	
1737.53	1000	2701	
1737.54	1000	2701	
1737.55	1000	2701	
1737.56	1000	2707	
1737.57	1000	2707	
1737.58	1000	2707	
1737.5900000000001	1000	2707	
1737.6000000000001	1000	2707	
1737.6100000000001	1000	2707	
1737.6200000000001	1000	2690	
1737.63	1000	2690	
1737.64	1000	2690	
1737.65	1000	2690	
1737.66	1000	2735	
1737.67	1000	2735	
1737.68	1000	2735	
1737.69	1000	2735	
1737.7	1000	2735	
1737.71	1000	2701	
1737.72	1000	2701	
1737.73	1000	2701	
1737.74	1000	2701	
1737.75	1000	2701	
1737.76	1000	2701	
1737.77	1000	2701	
1737.78	1000	2701	
1737.79	1000	2701	
1737.8	1000	2701	
1737.81	1000	2690	
1737.82	1000	2690	
1737.83	1000	2690	
1737.8400000000001	1000	2690	
1737.8500000000001	1000	2690	
1737.8600000000001	1000	2690	
1737.8700000000001	1000	2674	
1737.88	1000	2674	
1737.89	1000	2674	
1737.9	1000	2674	
1737.91	1000	2674	
1737.92	1000	2674	
1737.93	1000	2674	
1737.94	1000	2674	
1737.95	1000	2674	
1737.96	1000	2674	
1737.97	1000	2674	
1737.98	1000	2674	
1737.99	1000	2674	
1738	1000	2674	
1738.01	1000	2652	
1738.02	1000	2652	
1738.03	1000	2652	
1738.04	1000	2652	
1738.05	1000	2652	
1738.06	1000	2652	
1738.07	1000	2620	
1738.08	1000	2620	
1738.0900000000001	1000	2620	
1738.1000000000001	1000	2620	
1738.1100000000001	1000	2589	
1738.1200000000001	1000	2589	
1738.13	1000	2589	
1738.14	1000	2589	
1738.15	1000	2589	
1738.16	1000	2569	
1738.17	1000	2569	
1738.18	1000	2569	
1738.19	1000	2569	
1738.2	1000	2569	
1738.21	1000	2569	
1738.22	1000	2510	
1738.23	1000	2510	
